reso_field,reso_definition,reso_lookup,reso_data_type,is_extension,dash_form,dash_label,qobrix_schema,qobrix_path,sir_label,value_mapping_json,confidence,has_dash,has_qobrix,has_sir,notes
Heating,A list describing the heating features of the property.,Heating,"String List, Multi",false,,,Property,heating_type,,"{""Autonomous_heating_system"": ""Central"", ""Central_heating"": ""Central"", ""Electric_heating"": ""Electric""}",medium,no,yes,no,
ListAgentKey,"A system unique identifier. Specifically, in aggregation systems, the ListAgentKey is the system unique identifier from the system where the record was retrieved. This may be identical to the related xxxId. This is a foreign key relating to the Member Resource's MemberKey.",,String,false,,,Property,agent,,,high,no,yes,no,
ListAgentMlsId,"The local, well-known identifier for the member. This value may not be unique, specifically in the case of aggregation systems, and it should be the identifier from the original system.",,String,false,,,Property,agent,,,medium,no,yes,no,Qobrix stores Agent UUID; CDL projects to MlsId via Member resolution.
ListOfficeKey,"A system unique identifier. Specifically, in aggregation systems, the key is the system unique identifier from the system where the record was just retrieved. This may be identical to the related xxxId identifier, but the key is guaranteed unique for this record set. This is a foreign key relating to the Office Resource's OfficeKey.",,String,false,,,,,,,low,no,no,no,Qobrix has no Branch schema and no office field on Property; CDL derives this via Agent.agency.
ListPrice,"The current price of the property as determined by the seller and the seller's broker. For auctions, this is the minimum or reserve price.",,Number,false,Residential_Sale,List Price,Property,list_selling_price_amount,Price €,,high,yes,yes,yes,Multi-currency in source; CDL stores numeric with separate currency.
ListingContractDate,"The effective date of the agreement between the seller and the seller's broker. This is the date entered by the agent reflecting when the change occurred contractually, not a timestamp of when the change was made in the MLS.",,Date,false,Residential_Sale,Anticipated List Date (for Prelisting)/List Date,Property,created,,,high,yes,yes,no,
ListingId,"The well-known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.",,String,false,,,Property,original_ref,,,high,no,yes,no,Human-readable / legacy reference number.
ListingKey,"A unique identifier for this record from the immediate source. This is a string that can include a Uniform Resource Identifier (URI) or other forms. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.",,String,false,,,Property,id,,,high,no,yes,no,Qobrix UUID is canonical primary key in CDL.
LivingArea,The total livable area within the structure.,,Number,false,,,Property,internal_area_amount,Internal area (sq.m.),,high,no,yes,yes,
LotSizeArea,"The total area of the lot. See Lot Size Units for the units of measurement (e.g., square feet, square meters, acres).",,Number,false,Residential_Sale,Lot Size,Property,plot_area_amount,Plot area (sq.m.),,high,yes,yes,yes,
NewConstructionYN,Indicates whether or not the property is newly constructed and has not been previously occupied.,,Boolean,false,,,Property,new_build,,,medium,no,yes,no,Approximate; RESO definition is stricter (newly constructed and never occupied).
ParkingTotal,The total number of parking spaces included in the sale.,,Number,false,Residential_Sale,# of Parking Places,Property,parking,,,high,yes,yes,no,
PoolFeatures,A list of features about or a description of a pool included in the sale/lease.,PoolFeatures,"String List, Multi",false,,,Property,common_swimming_pool,,"{""true"": ""Community""}",medium,no,yes,no,Boolean flag becomes 'Community' lookup value.
PoolPrivateYN,The property has a privately owned pool that is included in the sale/lease.,,Boolean,false,,,Property,private_swimming_pool,,,high,no,yes,no,
PostalCode,The postal code portion of a street or mailing address.,,String,false,Residential_Sale,Zip/Postal Code,Property,post_code,,,high,yes,yes,no,
PreviousListPrice,The most recent previous list price of the listing.,,Number,false,,,Property,previous_list_selling_price,,,medium,no,yes,no,
PrivateRemarks,Remarks that may contain security or proprietary information and should be restricted from public view.,,String,false,,,,,Notice,,medium,no,no,yes,
PropertySubType,"A list of types of residential and residential lease properties (e.g., Single-Family Residence, Condominium, Townhouse) or a list of subtypes for mobile (e.g., Manufactured Home, Manufactured On Land).",PropertySubType,"String List, Single",false,,,Property,property_subtype,,"{""Apartment (standart)"": ""Apartment"", ""Bungalow"": ""Single Family Residence"", ""Detached_house"": ""Single Family Residence"", ""Mansion Villa"": ""Single Family Residence"", ""Townhouse"": ""Townhouse""}",medium,no,yes,no,Qobrix subtypes are project-local; partial map to RESO closed list. Studio/Penthouse/etc. lack a RESO PropertySubType slot - covered by x_sm_property_subtype extension instead.
PropertyType,"A list of types of properties (e.g., Residential, Lease, Income, Land, Mobile, Commercial Sale).",PropertyType,"String List, Single",false,Residential_Sale,,Property,property_type,,,medium,no,yes,no,Dash form selection encodes type (Residential vs Commercial); Qobrix has explicit field.
PublicRemarks,"Text remarks that may be displayed to the public. In an MLS, it is the field where information is entered for the public. This information is intended to be visible online. This is typically information that describes the selling points of the building and/or land for sale. Local conditions and rules will determine what such content can contain. Generally, any information pertaining to entry to the property, the seller and/or tenant, or listing member contact information is excluded. In other systems, these remarks will be determined by local business rules.",,String,false,,,Property,description,,,high,no,yes,no,
StandardStatus,"The status of the listing as it reflects the state of the contract between the listing agent and seller, or an agreement with a buyer (e.g., Active, Active Under Contract, Canceled, Closed, Expired, Pending, Withdrawn). This is a single-select field.",StandardStatus,"String List, Single",false,,,Property,status,,"{""available"": ""Active"", ""expired"": ""Expired"", ""rented"": ""Closed"", ""reserved"": ""Pending"", ""sold"": ""Closed"", ""withdrawn"": ""Withdrawn""}",medium,no,yes,no,Status semantics differ; lookup gate validates RESO targets.
StateOrProvince,Text field containing the accepted postal abbreviation for the state or province.,StateOrProvince,"String List, Single",false,Residential_Sale,State/Province,Property,state,,,high,yes,yes,no,
Stories,The number of floors in the property being sold.,,Number,false,Residential_Sale,Number of Floors/Levels,Property,storeys_max_floor,,,high,yes,yes,no,
StoriesTotal,"The total number of floors in the building. In the case of multi-dwelling structures, this is the entire structure and not the individual dwelling being sold.",,Number,false,,,Property,floors_building,Number of floors in the building,,high,no,yes,yes,
StreetName,The street name portion of a listed property's street address.,,String,false,Residential_Sale,Address Line 1,,,,,high,yes,no,no,
TaxAnnualAmount,The annual property tax amount as of the last assessment made by the taxing authority.,,Number,false,Residential_Sale,Annual Tax Amount,,,,,high,yes,no,no,
TaxYear,The year in which the last assessment of the property value/tax was made.,,Number,false,Residential_Sale,Tax Year,,,,,high,yes,no,no,
UnitNumber,"A text field containing the unit number or portion of a larger building or complex that should appear following the street suffix or, if it exists, the street suffix direction in the street address (e.g., Apt G, #55).",,String,false,,,Property,unit_number,,,high,no,yes,no,
View,A view as seen from the listed property.,View,"String List, Multi",false,,,Property,view,,"{""City view"": ""City"", ""Garden view"": ""Garden"", ""Mountain view"": ""Mountain(s)"", ""Pool view"": ""Pool"", ""Sea view"": ""Ocean""}",medium,no,yes,no,
WaterfrontFeatures,The features of the waterfront on which the property is located.,WaterfrontFeatures,"String List, Multi",false,,,Property,beach_front,,,medium,no,yes,no,Boolean true -> ['Beach Front'].
YearBuilt,"The year that an occupancy permit is first granted for the house or other local measure of initial habitability of the build. The type of definition permits an empty value with an attribute noting that it is an unknown date or that the building is new construction. While constraints have not been applied, convention at the time of adoption has this as a four-digit year value.",,Number,false,Residential_Sale,Year Built,Property,construction_year,,,high,yes,yes,no,
Zoning,"A division of the city or county into areas of different permissible land uses. This field should be used for the short code that is commonly used. For full textual descriptions, please use the ZoningDescription field.",,String,false,Residential_Sale,Zoning,,,,,high,yes,no,no,
x_sm_business_transfer_yn,,,,true,,,Property,business_transfer_or_sale,,,high,no,yes,no,Commercial concept (going-concern transfer) absent from RESO Property.
x_sm_commission_pct,,,,true,,,Property,custom_commission,Commissions %,,medium,no,yes,yes,RESO Property has no native commission %% field (DualOrVariableRateCommissionYN exists but is boolean only).
x_sm_crypto_payment_yn,,,,true,,,,,Crypto payment is possible (yes/no),,high,no,no,yes,
x_sm_distance_to_beach,,,,true,,,,,"Distance to the beach (m, km)/requested by owner",,high,no,no,yes,Marketing-significant in coastal markets.
x_sm_documents_with_title_deed,,,,true,,,,,Documents List for Properties with Title Deed,,medium,no,no,yes,
x_sm_documents_without_title_deed,,,,true,,,,,Documents List for Properties without Title Deed,,medium,no,no,yes,
x_sm_excluded_marketing_yn,,,,true,,,,,"Excluded from Marketing resources (portals, promotion)",,high,no,no,yes,
x_sm_exclusivity_yn,,,,true,,,Property,custom_exclusive_listing,Exclusivity (yes/no),,high,no,yes,yes,RESO ListAgreement has ListAgreement.Exclusivity but Property doesn't; promote to extension on Property.
x_sm_google_maps_point,,,,true,,,,,Google maps point (or link),,high,no,no,yes,Captured separately from Latitude/Longitude when source is a paste-link rather than coords.
x_sm_keyholder_contact,,,,true,,,,,Telephone/email of keyholder,,medium,no,no,yes,
x_sm_keys_in_office_yn,,,,true,,,,,Keys in the office (yes/no),,high,no,no,yes,
x_sm_seller_bank_preference,,,,true,,,,,Seller's Banks of prefference,,medium,no,no,yes,
x_sm_title_deed_available_yn,,,,true,,,,,Title deeds availability (yes/no),,high,no,no,yes,CY/EU-specific concept absent from RESO; not in Qobrix either - SIR is the source of record.
